model,lang,split,n_utts,audio_hours,wer,cer,rtf,wall_s,peak_vram_alloc_gb,peak_vram_reserved_gb,params_m,device,dtype,decoding,batch_size,n_longform_gt30s,forced_language,wer_ci_lo,wer_ci_hi,cer_ci_lo,cer_ci_hi,runaway_share,phase,model_short,dataset,engine,compute_type,disk_mb,cpu_threads
facebook/mms-1b-all,en,test,647,1.774,0.12782161234991424,0.0459519382062652,0.005218039624132764,33.332315314997686,3.489925632,4.779409408,964.84585,NVIDIA GeForce RTX 5060 Laptop GPU,float16,ctc-greedy,4,0.0,True,0.1204129705403626,0.1353453721574845,0.042912208076660394,0.04892721035003784,0.0,phase1,mms-1b-all,,,,,
facebook/mms-1b-all,kk,test,856,3.835,0.14356106006125982,0.02976886809174377,0.00565029489621252,77.99813982399064,4.2312064,4.779409408,964.84585,NVIDIA GeForce RTX 5060 Laptop GPU,float16,ctc-greedy,4,0.0,True,0.13622488443574166,0.15172002789098546,0.02752447615624571,0.032294248306946625,0.0,phase1,mms-1b-all,,,,,
facebook/mms-1b-all,ru,test,775,2.498,0.18914266799073154,0.038902314692444206,0.0052550121983756005,47.26263380999444,3.729181184,4.779409408,964.84585,NVIDIA GeForce RTX 5060 Laptop GPU,float16,ctc-greedy,4,0.0,True,0.18051527259040162,0.19844121668379006,0.03674653150355771,0.041170068839553174,0.0,phase1,mms-1b-all,,,,,
openai/whisper-base,en,test,647,1.774,0.11485420240137222,0.05571449005864683,0.0020755479227911014,13.258392575997277,0.5932416,0.708837376,72.59392,NVIDIA GeForce RTX 5060 Laptop GPU,float16,greedy (num_beams=1),16,0.0,True,0.0947791056666541,0.1502332247907718,0.04061086553861654,0.0833236156384061,0.0015455950540958269,phase1,whisper-base,,,,,
openai/whisper-base,kk,test,856,3.835,1.1566120655213743,0.5101120209862101,0.0053322974456434,73.60842033699737,0.5932416,0.708837376,72.59392,NVIDIA GeForce RTX 5060 Laptop GPU,float16,greedy (num_beams=1),16,14.0,True,1.0957003554201226,1.2212251367400095,0.46776731349717193,0.555166747694551,0.07476635514018691,phase1,whisper-base,,,,,
openai/whisper-base,ru,test,775,2.498,0.22032439589539887,0.05806555148585885,0.002040583917513647,18.352644449012587,0.541502464,0.624951296,72.59392,NVIDIA GeForce RTX 5060 Laptop GPU,float16,greedy (num_beams=1),16,1.0,True,0.20963578335962235,0.23234815553871865,0.05478400907349558,0.06164019532841614,0.0,phase1,whisper-base,,,,,
openai/whisper-large-v3-turbo,en,test,647,1.774,0.04905660377358491,0.021134315548562436,0.011968184369668733,76.4515649350069,2.39096064,3.16669952,808.87808,NVIDIA GeForce RTX 5060 Laptop GPU,float16,greedy (num_beams=1),16,0.0,True,0.04480537235764667,0.05369428727023804,0.01900229013610049,0.023502158080328656,0.0,phase1,whisper-large-v3-turbo,,,,,
openai/whisper-large-v3-turbo,kk,test,856,3.835,0.2076841123984552,0.07277819135736821,0.00957126007935178,132.1241626629926,2.39096064,3.16669952,808.87808,NVIDIA GeForce RTX 5060 Laptop GPU,float16,greedy (num_beams=1),16,14.0,True,0.1978092944872454,0.21865289194863463,0.05698938687116005,0.09091347359004648,0.007009345794392523,phase1,whisper-large-v3-turbo,,,,,
openai/whisper-large-v3-turbo,ru,test,775,2.498,0.04415756372062231,0.012800664577275989,0.010709880392758742,96.32273647400143,2.39096064,3.16669952,808.87808,NVIDIA GeForce RTX 5060 Laptop GPU,float16,greedy (num_beams=1),16,1.0,True,0.03930903649978053,0.048893910375182884,0.011001683000252756,0.014562046022388161,0.0,phase1,whisper-large-v3-turbo,,,,,
openai/whisper-small,en,test,647,1.774,0.0711492281303602,0.031921994945882805,0.003988620868519077,25.478911246013013,1.535579136,1.962934272,241.734912,NVIDIA GeForce RTX 5060 Laptop GPU,float16,greedy (num_beams=1),16,0.0,True,0.06399754266713327,0.07897167828536857,0.026745491202883265,0.03814071694806443,0.0,phase1,whisper-small,,,,,
